"specimens_count","sh_mean","sh_stdv","lwh_mean","lwh_stdv","asih_mean","asih_stdv","sih_mean","sih_stdv","aw_mean","aw_stdv","sw_mean","sw_stdv","sic_mean","sic_stdv","aa_mean","aa_stdv","aao_mean","aao_stdv"
1,8.05,NA,5.6,NA,4,NA,2.45,NA,1.49,NA,3.75,NA,1.55,NA,47.71,NA,56.07,NA
2,15.22,3.96,10.99,2.88,8.42,1.77,4.81,1.17,2.51,0.32,5.87,0.91,3.61,0.6,49.45,4.86,63.89,4.47
2,12.24,4.35,7.62,1.79,5.45,1.22,3.82,1.29,2.04,0.7,4.14,1.66,1.63,0.07,43.24,8.69,-88.79,0.15
1,9.35,NA,6.62,NA,4.63,NA,3.13,NA,1.6,NA,4.39,NA,1.5,NA,58.25,NA,9.31,NA
1,7.44,NA,5.63,NA,4.6,NA,2.92,NA,1.51,NA,3.87,NA,1.68,NA,67.95,NA,-80.54,NA
1,9.15,NA,6.71,NA,5.01,NA,2.98,NA,1.74,NA,4.42,NA,2.03,NA,67.68,NA,-100.46,NA
4,6.87,0.39,5.11,0.4,3.8,0.37,2.5,0.31,1.42,0.19,3.17,0.15,1.3,0.43,68.09,1.4,-47.51,53.56
20,11.73,4.91,7.71,3.07,5.11,1.93,2.64,0.93,1.63,0.65,5.64,2.18,2.47,1.03,55.35,8.29,-101.06,18.87
2,13.27,7.81,9.89,5.54,6.42,2.61,3.87,1.54,2.49,1.1,8.51,5.14,2.55,1.07,71.48,8.63,-63.45,32.25
2,7.75,2,5.45,1.3,3.73,0.74,2.24,0.46,1.42,0.28,4.3,1.33,1.49,0.29,44.04,22.34,3.83,79.5
1,6.81,NA,5.45,NA,4.46,NA,2.2,NA,1.13,NA,4.41,NA,2.26,NA,55.88,NA,91.33,NA
2,5.04,2.17,3.51,1.37,2.58,0.98,1.49,0.63,0.94,0.57,2.3,0.95,1.09,0.35,49.3,6.84,93.62,0.6
6,6.81,0.87,4.84,0.67,3.34,0.45,2.13,0.32,1.27,0.35,3.04,0.31,1.22,0.3,48.08,3.81,65.1,5.39
35,5.98,1.63,4.46,1.18,3.26,0.81,1.75,0.36,1.09,0.27,2.68,0.74,1.51,0.48,55.18,3.79,-95.91,46.87
1,9.62,NA,6.93,NA,4.53,NA,3.27,NA,2.23,NA,5.14,NA,1.26,NA,57.53,NA,72.01,NA
3,12.97,6.65,9.46,4.73,7.1,3.63,3.85,1.88,2.26,1.09,6.81,3.34,3.25,1.76,55.33,3.86,79.49,4.52
4,9.02,1.84,6.67,1.39,4.73,0.93,3.45,0.59,1.47,0.06,4.65,1.01,1.27,0.41,54.38,8.05,-50.78,77.4
32,11.42,2.84,8.3,1.96,5.72,1.26,3.8,0.85,1.91,0.37,5.4,1.36,1.92,0.5,50.94,3.43,-48.92,55.57
3,11.34,0.91,8.63,0.59,6.13,0.51,4.63,0.1,1.88,0.39,6.12,0.18,1.51,0.42,58.14,1.56,-86.81,10.84
8,9.18,3,6.8,2.29,4.8,1.52,3.61,1.26,1.42,0.49,4.8,1.59,1.19,0.41,56.66,4.82,-1.64,71.75
7,8.88,2.61,6.66,2.02,4.9,1.39,3.53,1.07,1.54,0.46,4.57,1.39,1.38,0.36,60.73,4.78,-15.41,70.4
1,18.67,NA,13.74,NA,10.8,NA,5.47,NA,3.48,NA,9.61,NA,5.33,NA,63.87,NA,81.6,NA
13,48.89,38.11,38.04,30.03,30.52,24.43,18.1,15.08,10.23,8.08,26.53,21.18,12.42,9.45,58.79,5.55,73.31,22.09
23,38.65,11.17,35.51,10.96,29.54,9.63,26.02,8.42,14.02,4.76,23.22,6.84,3.53,1.62,79.58,7.37,77.78,51.84
14,5.96,1.66,4.55,1.21,3.38,0.8,1.88,0.49,0.97,0.26,3.27,0.73,1.5,0.32,58.51,3.25,79.17,9.3
4,9.1,2.86,6.83,2.16,4.95,1.34,3.08,0.85,1.44,0.47,4.5,1.1,1.87,0.52,52.33,6.27,-14.23,89.85
1,3.88,NA,3.05,NA,2.38,NA,1.38,NA,0.72,NA,2.36,NA,1,NA,53.34,NA,91.48,NA
38,14.9,8.43,11.74,6.75,9.46,5.52,4.05,2.1,2.31,1.13,6.75,3.67,5.42,3.5,62.62,5.79,42.45,63.98
33,32,1.76,26.61,1.57,23.24,1.65,8.32,0.67,4.27,0.38,13.25,1.19,14.92,1.28,70.57,3.32,91.94,8.22
1,16.96,NA,13,NA,10.8,NA,4.82,NA,2.66,NA,8.8,NA,5.98,NA,66.35,NA,90.61,NA
18,31.17,10.29,23.78,7.31,18.03,5.32,15.68,4.58,7.78,2.49,14.78,4.23,2.35,1.33,60.77,4.09,-30.8,43.73
5,28.9,14.76,21.02,10.1,16.31,7.4,13.4,5.96,6.75,3.88,13.84,5.8,2.91,1.44,60.26,3.17,-93,3.26
53,20.31,7.28,15.69,5.63,12.4,4.35,10.57,3.85,5.37,2.05,11.03,3.74,1.83,0.68,64.16,4.65,-16.3,78.14
31,8.97,1.3,5.97,0.9,4.3,0.68,3.5,0.58,1.48,0.29,4.04,0.69,0.8,0.2,45.68,2.83,-86.58,24.09
1,8.32,NA,5.5,NA,3.55,NA,2.98,NA,1.24,NA,3.46,NA,0.57,NA,43.85,NA,-102.03,NA
8,7.52,6.19,5.75,4.66,4.42,3.28,1.93,1.35,1.08,0.75,4.05,3.91,2.49,1.95,51.8,8.14,88.27,9.65
2,12.67,0.23,9.64,0.44,7.42,0.55,2.78,0.01,1.91,0.14,5.12,0.49,4.64,0.56,53.98,6.77,72.76,4.94
30,31.13,8.65,25.67,7.11,21.54,5.43,18.15,4.58,8,2.08,23.01,5.93,3.39,1.11,70.72,5.94,96.08,7.44
3,27.62,16.69,24.47,15.96,21.29,14.14,7.36,4.38,4.8,3.21,13.47,9.51,13.93,9.94,85.99,23.49,39.26,106.81
